from_stop_id,to_stop_id,distance_km,route_id
0,1,0.158384,859
0,1649,0.148732,859
0,2,0.397553,681
0,271,0.566100,9
1,2,0.241205,859
1,3102,0.199885,626
10,11,0.606322,68
10,1596,0.400117,68
10,1650,0.663463,631
10,9,0.547096,631
100,101,0.395502,1212
100,99,0.591939,1212
1000,1001,0.166722,148
1000,2149,0.617142,1264
1000,998,0.923832,289
1000,999,0.536879,148
1001,1002,0.572116,148
1001,1003,1.005559,289
1001,2147,0.048169,509
1002,1003,0.441386,148
1002,1944,0.961952,885
1002,3924,0.341515,906
1003,1004,0.252799,727
1003,1944,0.532665,148
1003,1945,1.255630,541
1003,3924,0.782658,764
1004,1005,0.601827,611
1004,2144,0.313807,611
1004,3802,0.943545,754
1005,1006,0.515729,611
1006,1007,0.331394,611
1007,2739,0.379193,608
1007,3917,0.561925,754
1008,1009,0.407996,385
1008,2828,0.624693,385
1008,2829,0.384233,185
1009,1010,0.291225,1083
1009,3519,0.302518,385
101,102,0.254784,1212
1010,1011,0.480302,38
1010,3520,0.507811,1083
1010,4186,0.486304,1111
1010,4197,0.253412,1111
1011,1012,0.296163,38
1011,4186,0.232172,1079
1012,1013,0.299637,38
1012,2396,0.498209,1079
1013,1014,0.394503,38
1014,1015,0.294923,38
1015,1016,0.281591,38
1016,1017,0.397932,924
1016,1068,0.485450,924
1016,1809,0.381910,348
1017,1018,0.447220,924
1018,1019,0.646099,924
1019,1020,0.451395,924
102,103,0.262181,1212
102,1312,0.295403,98
102,1914,0.214344,735
102,2924,0.312777,984
1020,1021,0.518078,924
1021,1022,0.959030,38
1021,1405,0.505276,924
1021,1712,0.400360,81
1022,1023,1.006555,128
1022,1403,0.613317,1130
1022,1711,0.831109,128
1022,2108,0.845401,1151
1022,2975,0.048577,208
1023,1024,0.472583,128
1023,1504,1.428819,1159
1023,1816,0.686315,1159
1023,2975,0.958647,208
1024,1025,0.534820,208
1024,2109,0.771393,773
1024,2391,0.615379,128
1024,2823,0.775091,1151
1024,3358,0.790017,320
1025,1026,0.467133,208
1026,1027,0.625059,38
