line_name,station_name,gate_or_lift_label,gate_type,gate_number,has_lift_inside_gate,exit_landmark,notes
Red Line,Rithala,Lift No.3,lift,3,false,Near Gate No.3 of the Station; near Delhi Jal Board Office,
Red Line,Rohini West,Lift No.3,lift,3,false,Near Gate No.3 of the Station; near Unity Mall,
Red Line,Rohini East,Lift No.3,lift,3,false,Near Gate No.3 of the Station; near Fire Safety Management Office,
Red Line,Pitampura,Lift No.3,lift,3,false,Near Gate No.2 of the Station,
Red Line,Kohat Enclave,Lift No.3,lift,3,false,"Near Gate No.1 of the Station; near Sulabh Toilet Complex, Metro Apartments",
Red Line,Netaji Subhash Place (L-1),Gate No.3,gate,3,false,Via Gate No.3 of the Station,
Red Line,Netaji Subhash Place (L-7),Gate No.1,gate,1,false,In front of Punjab Kesari Building,
Red Line,Not Required,Gate No.2,gate,2,false,"In front of D Mall, Ring Road",
Red Line,Keshav Puram,Lift No.3,lift,3,false,Near Gate No.3&4 of the Station; near Sulabh Toilet Complex,
Red Line,Kanhaiya Nagar,Lift No.3,lift,3,false,Near Gate No.3&4 of the Station; near Sulabh Toilet Complex,
Red Line,Inder Lok (L-1),Lift No.3,lift,3,false,Near Gate No.1 of the Station; towards Big Bazar,
Red Line,Inder Lok (L-5),Lift No.2A,lift,2,false,Near Gate No.5 of the Station; Near Sulabh Toilet Complex,
Red Line,Shastri Nagar,Lift No.3,lift,3,false,"Near Gate No.2 of Station; near Parking Lot, Main Market Side",
Red Line,Pratap Nagar,Lift No.3,lift,3,false,Near Gate No.2 of the Station; Sabzi Mandi Railway Station side,
Red Line,Pulbangash,Lift No.3,lift,3,false,Near Gate No.1 of the Station; towards Raushanara Road,
Red Line,Tis Hazari,Gate No.2,gate,2,false,On GT road from Azad Market side to Kashmere Gate,
Red Line,Shastri Park,Gate No.1,gate,1,false,Approach road from Gandhi Nagar Market,
Red Line,Seelampur,Gate No.1,gate,1,false,From GT Road side towards Delhi,
Red Line,Welcome (L-1),Gate No.1,gate,1,false,From GT Road side towards Delhi,
Red Line,Welcome (L-7),Lift No.4A,lift,4,false,From GT Road side towards Delhi,
Red Line,Shahdara,Gate No.1,gate,1,false,From GT Road side towards Delhi,
Red Line,Mansarovar Park,Lift No.3,lift,3,false,Near Gate No.1 of the Station; near Sulabh Toilet Complex,
Red Line,Jhilmil,Lift No.3,lift,3,false,Near Gate No.1 of the Station; towards Jhilmil Industrial Area,
Red Line,Dilshad Garden,Lift No.3,lift,3,false,Near Gate No.1 of Station; Near 2-Wheeler Parking Lot,
Red Line,Saheed Nagar,Gate No.2,gate,2,false,"GT Road towards Ghaziabad, Transport Area",
Red Line,Raj Bagh,Gate No.1,gate,1,false,On GT Road towards Ghaziabad,
Red Line,Major Mohit Sharma Rajendra Nagar,Gate No.1,gate,1,false,On GT Road towards Ghaziabad,
Red Line,GateNo.2,GateNo.2,gate,2,false,On GT Road towards Delhi,
Red Line,Shyam Park,Gate No.1,gate,1,false,On GT Road towards Ghaziabad,
Red Line,Mohan Nagar,Gate No.1,gate,1,false,On GT Road towards Ghaziabad,
Red Line,Arthala,Gate No.1,gate,1,false,On GT Road towards Ghaziabad,
Red Line,Hindon River,Gate No.1,gate,1,false,On GT Road towards Ghaziabad,
Red Line,Shaheed Sthal New Bus Adda,Gate No.1,gate,1,false,On GT Road towards Ghaziabad,
Red Line,Samaypur Badli,Lift No.3,lift,3,false,Near Gate No.1 of the Station; towards Badli Railway Station,
Red Line,"Rohini Sec-18,19",Lift No.3,lift,3,false,Towards Divya Jyoti Apartments,
Red Line,Haiderpur Badli Mor,Lift No.3,lift,3,false,Near Gate No.2 of the Station; towards DDA Flats & Parking Side,
Red Line,Jahangirpuri,Lift No.3,lift,3,false,Near Gate No.3&4 of Station,
Red Line,Adarsh Nagar,Lift No.3,lift,3,false,Near Gate No.4 of the Station; towards Bhadola Village,
Red Line,Azadpur (L-2 & L-7),Gate No.3,gate,3,false,"Towards Lal Bagh, Azadpur Railway Stadium",
Red Line,Not Required,Gate No.4,gate,4,false,"Towards Chatralshal Stadium, Model Town-3",
Red Line,Model Town,Lift No.3,lift,3,false,"Near Gate No.4 of Station; Near Police Chowki, Alpna Cinema",
Blue Line,Guru Tegh Bahadur Nagar,Lift No. 3,lift,3,false,Near Gate No.1&.5 of the Station; in front of Samrat Hotel,
Blue Line,Vishwavidyalaya,Gate No.2,gate,2,false,Towards Mall Road,
Blue Line,Not Required,Gate No.3,gate,3,false,Towards Delhi University side,
Blue Line,Vidhan Sabha,Lift No.3,lift,3,false,"Near Gate No.1 of Station; towards Vidhan Sabha, Post Office",
Blue Line,Civil Lines,Lift No.3,lift,3,false,Near Gate No.3 of Station; towards Punjab National Bank,
Blue Line,Kashmere Gate (L-1),Gate No.7,gate,7,false,Towards Kashmere Gate ISBT,
Blue Line,Kashmere Gate (L-2),Gate No.1,gate,1,false,"Towards DTC Bus Stand, DTC Bus Terminal",
Blue Line,Kashmere Gate (L-6),Lift No.2C,lift,2,false,"Near Gate No.6 of the Station; towards Lothian Road, G.T.Road",
Blue Line,Chandni Chowk,Lift No.2,lift,2,false,Near Gate No.2 of the Station; near Delhi Public Library,
Blue Line,Chawri Bazar,Gate No.1,gate,1,false,Towards Ajmeri Gate side,
Blue Line,New Delhi,Lift No.2,lift,2,false,"Towards Paharganj, Kamla Market & Rail Yatri Niwas",
Blue Line,Patel Chowk,Lift No.2,lift,2,false,"Near Gate No.1&2 of Station; towards LIC Bldg, Jeevan Tara",
Blue Line,Central Secretariat (L-2),Lift No.3,lift,3,false,Near Gate No.5 of the Station; towards Rail Bhawan,
Blue Line,Central Secretariat (L-6),Lift No.3A,lift,3,false,Near Gate No.3 of the Station; towards India Gate,
Blue Line,Udyog Bhawan,Lift No.3,lift,3,false,Near Gate No.4 of the Station; towards Sunehari Bagh Masjid,
Blue Line,Lok Kalyan Marg,Lift No.2,lift,2,false,Near Gate No.2 of the Station; towards Tuglak Road,
Blue Line,Jor Bagh,Lift No.2,lift,2,false,Near Gate No.2 of Station; towards Airport Authority of India,
Blue Line,Dilli Haat-INA (L-2),Lift No.2,lift,2,false,Near Gate No.1 of the Station; towards Laxmibai Nagar,
Blue Line,Dilli Haat-INA (L-7),Gate No.5,gate,5,false,Towards Delhi Haat,
Blue Line,AIIMS,Lift No.2,lift,2,false,Near Gate No.3 of the Station; towards Safdarganj Hospital,
Blue Line,Green Park,Lift No.2,lift,2,false,Near Gate No.3 of the Station; towards Adiva Hospital,
Blue Line,Hauz Khas (L-8),Gate No.1,gate,1,false,Ring Road towards IIT,
Blue Line,Hauz Khas (L-2),Lift No.2,lift,2,false,Near Gate No.3 of Station; towards Chetan Maha Parbhu Marg,
Blue Line,Malviya Nagar,Lift No.2,lift,2,false,"Near Gate No.1 of Station; towards Shivalik, Geetanjali Colony",
Blue Line,Saket,Lift No.2,lift,2,false,Near Gate No.1 of the Station; near CISF Camp,
Blue Line,Qutab Minar,Gate No.1,gate,1,false,Near Parking Lot.; Dada Badi Mandir,
Blue Line,Not Required,Gate No.2,gate,2,false,Towards Picnic Park,
Blue Line,Chhattarpur,Lift No.3,lift,3,false,Near Gate No.1 of the Station; near Nike showroom,
Blue Line,Sultanpur,Lift No.3,lift,3,false,Near Gate No.2 of Station; near Goyal Farm House,
Blue Line,Ghittorni,Lift No.3,lift,3,false,Near Gate No.2 of Station; near Nandi Greens,
Blue Line,Arjangarh,Lift No.3,lift,3,false,Near Gate No.2 of Station; Near Arjangarh Air Force Station,
